date,store_id,region,sku_id,product_name,department,category,brand,stock_on_hand,stock_on_order,reorder_point,days_of_supply_est,recommended_action,priority,human_review_required,source_type,claim_boundary
2026-05-25,ST001,West,SKU00136,Beverages Product 00136,Grocery,Beverages,Brand_12,5,3,3,35.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00098,Personal Care Product 00098,Health_Beauty,Personal Care,Brand_20,2,11,10,2.2,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00034,Pantry Product 00034,Grocery,Pantry,Brand_13,15,52,48,6.5,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00035,Cleaning Product 00035,Household,Cleaning,Brand_22,59,65,57,17.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00030,Garden Product 00030,Seasonal,Garden,Brand_22,25,6,24,20.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00144,Oral Care Product 00144,Health_Beauty,Oral Care,Brand_09,9,1,3,63.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00096,Paper Goods Product 00096,Household,Paper Goods,Brand_06,22,4,7,51.3,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00031,Beverages Product 00031,Grocery,Beverages,Brand_09,29,1,18,31.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00116,Accessories Product 00116,Electronics,Accessories,Brand_19,2,1,3,6.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00043,Outdoor Product 00043,Seasonal,Outdoor,Brand_21,21,22,22,20.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00023,Personal Care Product 00023,Health_Beauty,Personal Care,Brand_12,7,14,15,5.2,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00099,Oral Care Product 00099,Health_Beauty,Oral Care,Brand_03,3,3,12,4.4,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00004,Pantry Product 00004,Grocery,Pantry,Brand_20,9,3,3,63.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00061,Beverages Product 00061,Grocery,Beverages,Brand_10,37,3,18,25.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00092,Snacks Product 00092,Grocery,Snacks,Brand_01,5,0,3,11.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00146,Accessories Product 00146,Electronics,Accessories,Brand_19,6,2,4,15.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00056,Accessories Product 00056,Electronics,Accessories,Brand_24,39,12,12,57.5,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00006,Paper Goods Product 00006,Household,Paper Goods,Brand_08,34,11,30,21.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
