edge_id,source_memory_id,source_entity_type,edge_type,target_memory_id,target_entity_type,evidence_id,valid_from_utc,claim_boundary
EDGE_e0c21a99fb69,MODEL_dde1f5868109,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_b111ad93d417,MODEL_232912ebfe9e,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_e87115de3b84,MODEL_745a46395474,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_91bc0ef6021b,MODEL_ddada16b7d27,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_82d69ceba29c,MODEL_4bcb74044343,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_97024baf1d82,MODEL_cb050bae87ab,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_b9e2cdf605c7,MODEL_500be78aa944,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_d88bba04dc86,MODEL_9d9972ebc9cd,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_30e00942f28b,MODEL_78f566e8c1d1,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_f21ae168ed0b,MODEL_5708b5f9fd65,ModelRun,SUPPORTED_BY,evidence_model_comparison,EvidenceRef,evidence_model_comparison,2026-05-26T15:20:31+00:00,Edge links model memory to model-comparison evidence only.
EDGE_a150182d682c,DRIFT_54e008023a60,DriftSignal,SUPPORTED_BY,evidence_drift_monitor,EvidenceRef,evidence_drift_monitor,2026-05-26T15:20:31+00:00,Edge links drift signal to drift-monitor evidence only.
EDGE_3cad5535b8a6,DRIFT_8ffe5463aa6d,DriftSignal,SUPPORTED_BY,evidence_drift_monitor,EvidenceRef,evidence_drift_monitor,2026-05-26T15:20:31+00:00,Edge links drift signal to drift-monitor evidence only.
