table_name,json_line
schema_agent_memory_evidence_artifacts,"{""claim_boundary"": ""Supports demo or pilot model comparison only; production performance requires temporal validation."", ""evidence_id"": ""evidence_model_comparison"", ""evidence_path"": ""outputs/dashboard_model_comparison.csv"", ""evidence_type"": ""csv"", ""proof_status"": ""verified"", ""source_table"": ""dashboard_model_comparison.csv"", ""valid_from_utc"": ""2026-05-26T15:20:31+00:00""}"
schema_agent_memory_evidence_artifacts,"{""claim_boundary"": ""Supports drift/watch review only; thresholds require calibration before automated decisions."", ""evidence_id"": ""evidence_drift_monitor"", ""evidence_path"": ""outputs/drift_monitor.csv"", ""evidence_type"": ""csv"", ""proof_status"": ""verified"", ""source_table"": ""drift_monitor.csv"", ""valid_from_utc"": ""2026-05-26T15:20:31+00:00""}"
schema_agent_memory_evidence_artifacts,"{""claim_boundary"": ""Supports human-reviewed inventory recommendations only; no auto-execution."", ""evidence_id"": ""evidence_inventory_recommendations"", ""evidence_path"": ""outputs/inventory_recommendations.csv"", ""evidence_type"": ""csv"", ""proof_status"": ""verified"", ""source_table"": ""inventory_recommendations.csv"", ""valid_from_utc"": ""2026-05-26T15:20:31+00:00""}"
schema_agent_memory_evidence_artifacts,"{""claim_boundary"": ""Supports data-quality gating only; does not prove production data governance."", ""evidence_id"": ""evidence_data_quality"", ""evidence_path"": ""outputs/data_quality_audit.csv"", ""evidence_type"": ""csv"", ""proof_status"": ""verified"", ""source_table"": ""data_quality_audit.csv"", ""valid_from_utc"": ""2026-05-26T15:20:31+00:00""}"
schema_agent_memory_evidence_artifacts,"{""claim_boundary"": ""Supports Fabric-ready or scaffolded evidence only; live proof requires workspace/item/screenshot/run evidence."", ""evidence_id"": ""evidence_fabric_live_manifest"", ""evidence_path"": ""artifacts/fabric_live/evidence_manifest.json"", ""evidence_type"": ""manifest"", ""proof_status"": ""missing"", ""source_table"": ""evidence_manifest.json"", ""valid_from_utc"": ""2026-05-26T15:20:31+00:00""}"
schema_agent_memory_evidence_artifacts,"{""claim_boundary"": ""Live Fabric claims are allowed only when API, screenshot, notebook, or pipeline evidence exists."", ""evidence_id"": ""evidence_fabric_live_proof"", ""evidence_path"": ""artifacts/fabric_live"", ""evidence_type"": ""none"", ""proof_status"": ""missing"", ""source_table"": ""fabric_workspace_inventory.csv; fabric_item_inventory.csv; fabric_screenshot_register.csv; fabric_notebook_run_log.csv; fabric_pipeline_run_log.csv"", ""valid_from_utc"": ""2026-05-26T15:20:31+00:00""}"
schema_agent_memory_model_runs,"{""bias"": -0.0526, ""claim_boundary"": ""Model memory reflects current output rows only; not proof of production model performance."", ""entity_type"": ""ModelRun"", ""evidence_id"": ""evidence_model_comparison"", ""is_current"": true, ""mae"": 2.85, ""memory_id"": ""MODEL_dde1f5868109"", ""model_name"": ""lstm_gru_sequence"", ""model_type"": ""deep_sequence"", ""rmse"": 4.0248, ""run_id"": ""RUN_20260526T152031+0000"", ""selected_flag"": true, ""source_type"": ""synthetic"", ""superseded_by"": null, ""valid_from_utc"": ""2026-05-26T15:20:31+00:00"", ""valid_to_utc"": null, ""wmape"": 0.2894}"
schema_agent_memory_model_runs,"{""bias"": -0.02, ""claim_boundary"": ""Model memory reflects current output rows only; not proof of production model performance."", ""entity_type"": ""ModelRun"", ""evidence_id"": ""evidence_model_comparison"", ""is_current"": true, ""mae"": 2.9959, ""memory_id"": ""MODEL_232912ebfe9e"", ""model_name"": ""lightgbm_like"", ""model_type"": ""classical_ml"", ""rmse"": 4.1972, ""run_id"": ""RUN_20260526T152031+0000"", ""selected_flag"": false, ""source_type"": ""synthetic"", ""superseded_by"": null, ""valid_from_utc"": ""2026-05-26T15:20:31+00:00"", ""valid_to_utc"": null, ""wmape"": 0.1806}"
schema_agent_memory_model_runs,"{""bias"": -0.109, ""claim_boundary"": ""Model memory reflects current output rows only; not proof of production model performance."", ""entity_type"": ""ModelRun"", ""evidence_id"": ""evidence_model_comparison"", ""is_current"": true, ""mae"": 3.0216, ""memory_id"": ""MODEL_745a46395474"", ""model_name"": ""mlp_deep_tabular"", ""model_type"": ""deep_tabular"", ""rmse"": 4.2861, ""run_id"": ""RUN_20260526T152031+0000"", ""selected_flag"": false, ""source_type"": ""synthetic"", ""superseded_by"": null, ""valid_from_utc"": ""2026-05-26T15:20:31+00:00"", ""valid_to_utc"": null, ""wmape"": 0.2211}"
schema_agent_memory_model_runs,"{""bias"": 0.0443, ""claim_boundary"": ""Model memory reflects current output rows only; not proof of production model performance."", ""entity_type"": ""ModelRun"", ""evidence_id"": ""evidence_model_comparison"", ""is_current"": true, ""mae"": 3.2383, ""memory_id"": ""MODEL_ddada16b7d27"", ""model_name"": ""xgboost_like"", ""model_type"": ""classical_ml"", ""rmse"": 4.584, ""run_id"": ""RUN_20260526T152031+0000"", ""selected_flag"": false, ""source_type"": ""synthetic"", ""superseded_by"": null, ""valid_from_utc"": ""2026-05-26T15:20:31+00:00"", ""valid_to_utc"": null, ""wmape"": 0.1903}"
