memory_id,entity_type,run_id,action_id,store_id,sku_id,recommended_action,priority,human_review_required,auto_execute_allowed,source_type,evidence_id,valid_from_utc,valid_to_utc,superseded_by,is_current,claim_boundary
INV_e2a3ee1afb8a,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46800,ST001,SKU00136,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_4c9dcc480a70,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46801,ST001,SKU00098,Reorder,Medium,True,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_0f8b874637f1,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46802,ST001,SKU00034,Reorder,Medium,True,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_9ec71d905db0,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46803,ST001,SKU00035,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_8efb08761ddc,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46804,ST001,SKU00030,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_a39798d3dc9e,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46805,ST001,SKU00144,Reduce / Review,Low,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_4f22fc4d8072,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46806,ST001,SKU00096,Reduce / Review,Low,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_a1c5799c7333,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46807,ST001,SKU00031,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_ee3bf523987e,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46808,ST001,SKU00116,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_dd31ad09cc28,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46809,ST001,SKU00043,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_cb4f1482e4b9,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46810,ST001,SKU00023,Reorder,Medium,True,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_ea22118211fe,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46811,ST001,SKU00099,Reorder,Medium,True,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_2c4277338462,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46812,ST001,SKU00004,Reduce / Review,Low,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_3a226b37474b,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46813,ST001,SKU00061,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_1c28e77d6c1e,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46814,ST001,SKU00092,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_74f77b6f719f,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46815,ST001,SKU00146,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_5a381cd272ac,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46816,ST001,SKU00056,Reduce / Review,Low,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_3b4c5ea3e0b2,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46817,ST001,SKU00006,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_23e0a2116bf3,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46818,ST001,SKU00053,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_f78516e78173,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46819,ST001,SKU00078,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_9336dac09692,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46820,ST001,SKU00047,Maintain,Normal,False,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
INV_c4197dbc2255,InventoryAction,RUN_20260526T152031+0000,INV_ACTION_46821,ST001,SKU00091,Reorder,Medium,True,False,synthetic,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,,,True,Inventory memory is advisory and requires human review when flagged; no automatic execution.
