connector_name,system_area,example_source_systems,expected_payload,integration_pattern,implemented_mode,live_mode_status,target_raw_table,risk_if_wrong,source_type
POS API Connector,sales_transactions,"POS, commerce platform, retail data warehouse","transaction_id, transaction_date, store_id, sku_id, units_sold, net_sales, discounts, returns","REST API, SQL connector, SFTP batch export, webhook, or Fabric Data Factory connector",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,pos_transaction_lines.csv,"Bad sales data can distort forecasts, inventory, pricing, and promotion decisions.",synthetic
Inventory API Connector,inventory_and_replenishment,"ERP, WMS, inventory management system","date, store_id, sku_id, stock_on_hand, stock_on_order, reorder_point, stockout_flag","ERP API, OData API, SQL connector, batch export",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,inventory_snapshots.csv,"Bad inventory data can cause overstock, stockouts, and wrong reorder recommendations.",synthetic
Product Master API Connector,product_master_data,"PIM, ERP master data, merchandising system","sku_id, product_name, department, category, brand, supplier_id, cost, price, active_flag","PIM API, SQL connector, master data export",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,product_master.csv,"Bad product hierarchy can distort category, brand, assortment, and SKU-level decisions.",synthetic
Store Master API Connector,store_master_data,"ERP, store operations system, location master","store_id, region, city, store_format, sales_area_sqft, active_flag","REST API, SQL connector, master data export",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,store_master.csv,"Bad store metadata can distort regional, site, and productivity analysis.",synthetic
Pricing and Promotion API Connector,pricing_and_promotions,"pricing engine, promotion calendar, marketing platform","sku_id, store_id/region, regular_price, selling_price, promo_type, discount_depth, start_date, end_date","pricing API, promotion API, marketing platform export, batch file",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,pricing_history.csv; promotions_calendar.csv,"Bad price/promotion data can distort elasticity, promotion uplift, margin, and demand decisions.",synthetic
Supplier API Connector,supplier_and_procurement,"procurement system, supplier portal, ERP","supplier_id, lead_time, fill_rate, supplier_risk_score, active_flag","supplier portal API, ERP API, procurement export",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,supplier_master.csv,"Bad supplier data can distort reorder points, lead-time risk, and replenishment decisions.",synthetic
Finance API Connector,finance_and_margin,"ERP finance, accounting system, data warehouse","date, store_id, net_sales, gross_margin, costs, budget, margin_rate","ERP API, finance warehouse connector, batch export",mock_or_file_based,blocked_until_authorized_endpoint_and_credentials_are_provided,finance_daily_summary.csv,"Bad finance data can distort ROI, margin, and executive decision reporting.",synthetic
Fabric Upload Connector,platform_ingestion,"OneLake, Lakehouse Files, Fabric Data Factory",validated CSV/parquet/delta files and manifest,"OneLake upload, Fabric Data Factory pipeline, Lakehouse notebook",bundle_and_notebook_generated,requires_actual_fabric_upload_and_notebook_or_pipeline_run,Files/retail_decision_support_upload,Claiming Fabric execution from a local bundle without actual Fabric run history.,synthetic
Workflow Approval API Connector,human_approval_and_workflow,"email, Teams, Slack, n8n, Jira, ServiceNow, ERP approval workflow","approval_id, recommendation_id, owner, status, decision, timestamp","webhook, REST API, n8n workflow, ticketing API",approval_queue_file_based,blocked_until_workflow_tool_and_approval_policy_are_defined,agent_human_approval_queue.csv,Recommendations may be acted on without analyst or manager approval.,synthetic
Audit and Monitoring API Connector,governance_and_observability,"logging service, MLflow, Fabric monitoring, app logs","run_id, data_version, model_version, status, errors, approvals, timestamps","logging API, MLflow API, Fabric run history, audit table",manifest_and_csv_audit,requires_operational_logging_backend_or_fabric_run_history,run_manifest.json; api_call_audit.csv,"No defensible evidence for what ran, when, with which data/model, and who approved.",synthetic
