queue_id,agent_name,approval_type,store_id,sku_id,priority,recommended_action,status,owner,auto_execute,claim_boundary,source_type
APPROVAL_0001,Human Approval Agent,Inventory recommendation review,ST001,SKU00098,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0002,Human Approval Agent,Inventory recommendation review,ST001,SKU00034,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0003,Human Approval Agent,Inventory recommendation review,ST001,SKU00023,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0004,Human Approval Agent,Inventory recommendation review,ST001,SKU00099,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0005,Human Approval Agent,Inventory recommendation review,ST001,SKU00091,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0006,Human Approval Agent,Inventory recommendation review,ST001,SKU00036,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0007,Human Approval Agent,Inventory recommendation review,ST002,SKU00146,High,Urgent Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0008,Human Approval Agent,Inventory recommendation review,ST002,SKU00072,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0009,Human Approval Agent,Inventory recommendation review,ST002,SKU00061,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0010,Human Approval Agent,Inventory recommendation review,ST002,SKU00121,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0011,Human Approval Agent,Inventory recommendation review,ST002,SKU00140,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0012,Human Approval Agent,Inventory recommendation review,ST002,SKU00031,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0013,Human Approval Agent,Inventory recommendation review,ST002,SKU00042,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0014,Human Approval Agent,Inventory recommendation review,ST003,SKU00002,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0015,Human Approval Agent,Inventory recommendation review,ST003,SKU00069,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0016,Human Approval Agent,Inventory recommendation review,ST003,SKU00122,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0017,Human Approval Agent,Inventory recommendation review,ST003,SKU00142,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0018,Human Approval Agent,Inventory recommendation review,ST003,SKU00056,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0019,Human Approval Agent,Inventory recommendation review,ST004,SKU00019,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0020,Human Approval Agent,Inventory recommendation review,ST004,SKU00102,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0021,Human Approval Agent,Inventory recommendation review,ST004,SKU00121,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0022,Human Approval Agent,Inventory recommendation review,ST004,SKU00056,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0023,Human Approval Agent,Inventory recommendation review,ST004,SKU00017,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
